Query,Duration,Results Quality,Timestamp,type
Civil Rights Movement 1960s protests,2.5882151126861572,0.298,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Manhattan Project atomic bomb,4.0332019329071045,0.291,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Cheese types and production,1.2989990711212158,0.392,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Anime history Japan Studio Ghibli,1.9044599533081055,0.183,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Berlin Wall fall reunification,1.9264318943023682,0.09,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Sushi origins Japan,1.5575242042541504,0.139,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
World War I causes consequences,2.7574567794799805,0.177,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Higgs Boson discovery physics,1.465507984161377,0.326,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Golden Age of Hollywood films,2.2445943355560303,0.177,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Byzantine Empire Constantinople history,1.5113961696624756,0.529,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Turing Machine early computing,1.8438458442687988,0.306,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Theory of Relativity Einstein,1.2257111072540283,0.366,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Mobile phone technology evolution,1.360151767730713,0.191,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
History of chocolate production,1.2447268962860107,0.177,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Apollo 11 moon landing 1969,1.6489100456237793,0.218,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Gothic architecture medieval cathedrals,1.5777859687805176,0.679,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Russian Revolution 1917 Bolsheviks,1.838902235031128,0.366,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Academy Awards history Oscars,2.335432767868042,0.724,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Fermentation food preservation techniques,1.3065600395202637,0.264,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
History of pizza Italian cuisine,1.277791976928711,0.566,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
French cuisine traditional dishes,1.672292947769165,0.224,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
Endangered species conservation efforts,1.69688081741333,0.245,2025-01-26 17:39:54,"NO anchor BMtitle k=1.5, b = 0.4, text_weight, c500 = 1.9, title_weight =1.1, anchor_weight = 0,pr_weight = 0.25,pv_weight = 0.6"
